,,,,,,,,,,,,,,,,,,,,,,
,,SCVL SPRING 2026 SEASON SCHEDULE,,,,,,,,,,,,,,,,,,,,
,,Court 1,,,Court 2,,,Court 3,,,Court 4,,,Court 5,,,,,,,,
,6:30 PM,,INT5 v INT14,ref: INT11,,INT2 v INT8,ref: INT3,,SKILLS CLINIC,Topic TBD,,COM8 v COM15,ref: COM2,,COM11 v COM12,ref: COM6,,,COM16 COM17,,,
,7:30 PM,,REC3 v REC8,ref: REC1,,REC2 v REC9,ref: REC10,,COM1 v COM7,ref: COM10,,COM3 v COM18,ref: COM15,,COM2 v COM6,ref: COM12,,,POW11,,,
,8:30 PM,,REC4 v REC7,ref: REC8,,REC1 v REC10,ref: REC9,,COM4 v COM9,ref: COM1,,COM5 v COM13,ref: COM18,,COM10 v COM14,ref: COM3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Week 6: Mar 8,,,,,,,,,,,,,,,BYE,,,DOUBLE HEADER,
,4:30 PM,,COM1 v COM6,ref: COM16,,COM7 v COM18,ref: COM5,,COM14 v COM17,ref: COM15,,REC9 v REC10,ref: REC5,,REC7 v REC8,ref: REC3,,,,,,
,5:30 PM,,COM2 v COM16,ref: COM1,,COM4 v COM5,ref: COM17,,COM9 v COM15,ref: COM8,,REC5 v REC6,ref: REC9,,REC3 v REC4,ref: REC7,,,INT4,,,
,6:30 PM,,INT3 v INT13,ref: INT9,,INT11 v INT12,ref: INT8,,REC1 v REC2,ref: REC4,,COM8 v COM13,ref: COM9,,COM3 v COM10,ref: COM2,,,COM11 COM12,,,
,7:30 PM,,INT1 v INT15,ref: INT12,,INT7 v INT8,ref: INT2,,INT9 v INT10,ref: INT14,,POW5 v POW7,ref: POW6,,POW4 v POW8*,ref: POW9,,,POW2 POW3,,,POW8
,8:30 PM,,INT5 v INT6,ref: INT15,,INT2 v INT14,ref: INT7,,POW10 v POW11,ref: POW7,,POW6 v POW8,ref: POW5,,POW1 v POW9,ref: POW4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Week 7: Mar 15,,,,,,,,,,,,,,,BYE,,,DOUBLE HEADER,
,3:30 PM,,POW1 v POW3,ref: POW8,,POW2 v POW10,ref: POW7,,POW6 v POW9,ref: POW11,,INT10 v INT11,ref: INT12,,INT3 v INT7,ref: INT2,,,REC7 REC8,,,
,4:30 PM,,POW7 v POW8,ref: POW2,,POW4 v POW11,ref: POW1,,INT8 v INT13,ref: INT6,,INT9 v INT12,ref: INT11,,INT2 v INT4,ref: INT10,,,INT5,,,
,5:30 PM,,INT1 v INT6,ref: INT4,,INT14 v INT15,ref: INT13,,SKILLS CLINIC,Topic TBD,,COM6 v COM14,ref: COM10,,COM11 v COM18,ref: COM12,,,COM5 COM7,,,
,6:30 PM,,REC6 v REC9,ref: REC2,,REC1 v REC5,ref: REC10,,COM9 v COM17,ref: COM8,,COM10 v COM12,ref: COM3,,COM1 v COM13,ref: COM11,,,POW5,,,
,7:30 PM,,REC2 v REC4,ref: REC5,,REC3 v REC10,ref: REC1,,COM4 v COM8,ref: COM9,,COM2 v COM3,ref: COM13,,COM15 v COM16,ref: COM1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Week 8: Mar 22,,,,,,,,,,,,,,,BYE,,,DOUBLE HEADER,
,4:30 PM,,COM12 v COM14,ref: COM9,,COM1 v COM15,ref: COM13,,COM4 v COM6,ref: COM11,,REC1 v REC7,ref: REC6,,REC4 v REC10,ref: REC2,,,,,,
,5:30 PM,,COM7 v COM9,ref: COM12,,COM3 v COM13,ref: COM18,,COM5 v COM11,ref: COM6,,REC2 v REC6,ref: REC7,,REC8 v REC9,ref: REC10,,,INT12,,,
,6:30 PM,,INT3 v INT9,ref: INT10,,INT5 v INT7,ref: INT2,,REC3 v REC5,ref: REC8,,COM10 v COM17,ref: COM3,,COM16 v COM18,ref: COM5,,,COM2 COM8,,,
,7:30 PM,,INT6 v INT10,ref: INT5,,INT2 v INT15,ref: INT8,,INT1 v INT13,ref: INT7,,POW3 v POW11,ref: POW5,,POW8 v POW9,ref: POW10,,,POW6,,,
,8:30 PM,,INT11 v INT14,ref: INT6,,INT4 v INT8,ref: INT1,,POW7 v POW10,ref: POW8,,POW1 v POW5,ref: POW11,,POW2 v POW4,ref: POW9,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Week 9: Mar 29,,,,,,,,,,,,,,,BYE,,,DOUBLE HEADER,
,4:30 PM,,POW9 v POW11,ref: POW1,,POW2 v POW7,ref: POW5,,POW3 v POW6,ref: POW4,,INT10 v INT13,ref: INT12,,INT11 v INT15,ref: INT14,,,REC9 REC10,,,
,5:30 PM,,POW1 v POW8,ref: POW7,,POW4 v POW5,ref: POW2,,INT7 v INT9,ref: INT11,,INT12 v INT14,ref: INT13,,INT1 v INT4,ref: INT2,,,INT6,,,
