,,,,,,,,,,,,,,,,,,,,,
,SCVL FALL 2021 SEASON SCHEDULE,,,,,,,,,,,,,,,,,,,,
,Court 1,,,Court 2,,,Court 3,,,Court 4,,,Court 5,,,,,,,,
5:30 PM,,REC2 v REC4,ref: REC3,,INT3 v INT5,ref: INT1,,COM12 v COM15,ref: COM2,,COM4 v COM14,ref: COM8,,COM9 v COM16,ref: COM11,,,,,,COM2  COM11  COM12  COM14
6:30 PM,,INT4 v INT12,ref: INT11,,INT1 v INT7,ref: INT2,,COM6 v COM11,ref: COM15,,POW5 v POW10,ref: POW11,,POW7 v POW8,ref: POW4,,,POW2,,,None
7:30 PM,,INT2 v INT6,ref: INT4,,INT8 v INT11,ref: INT12,,POW4 v POW11,ref: POW5,,POW6 v POW9,ref: POW10,,POW1 v POW3,ref: POW7,,,,,,None
,,,,,,,,,,,,,,,,,,,,,
,,Week 6: Oct 24,,,,,,,,,,,,,,,BYE,,,DOUBLE HEADER,
3:30 PM,,INT9 v INT12,ref: INT11,,INT8 v INT10,ref: INT7,,INT1 v INT6,ref: INT5,,POW1 v POW5,ref: POW9,,POW3 v POW11,ref: POW8,,,,,,None
4:30 PM,,INT2 v INT5,ref: INT4,,INT7 v INT11,ref: INT6,,POW2 v POW4,ref: POW10,,POW8 v POW9,ref: POW1,,POW6 v POW11,ref: POW3,,,INT3,,,INT11
5:30 PM,,INT4 v INT11,ref: INT2,,COM1 v COM8,ref: COM5,,POW7 v POW10,ref: POW2,,COM11 v COM13,ref: COM4,,COM9 v COM15,ref: COM6,,,COM14,,,COM10
6:30 PM,,REC2 v REC6,ref: REC5,,COM3 v COM6,ref: COM9,,P+1 v P+4,ref: P+2,,COM4 v COM5,ref: COM2,,COM7 v COM10,ref: COM8,,,,,,POW11
7:30 PM,,REC1 v REC3,ref: REC2,,REC4 v REC5,ref: REC6,,P+2 v P+3,ref: P+1,,COM2 v COM10,ref: COM3,,COM12 v COM16,ref: COM7,,,,,,None
,,,,,,,,,,,,,,,,,,,,,
,,Week 7: Oct 31,,,,,,,,,,,,,,,BYE,,,DOUBLE HEADER,
3:30 PM,,REC1 v REC6,ref: REC2,,REC3 v REC4,ref: REC5,,P+1 v P+3,ref: P+2,,COM3 v COM8,ref: COM12,,COM1 v COM10,ref: COM14,,,,,,None
4:30 PM,,REC2 v REC5,ref: REC3,,COM4 v COM7,ref: COM5,,P+2 v P+4,ref: P+3,,COM12 v COM14,ref: COM1,,COM13 v COM16,ref: COM15,,,COM2  COM9,,,None
